factor,frequency,weighting,portfolio_type,return_gross,sharpe_gross,sortino_gross,max_dd,calmar,hit_rate,return_net,sharpe_net,avg_turnover,mean_ic,ic_ir,alpha,beta,r_squared
value,monthly,equal,long_only,0.13125711310440713,0.7791755990741493,0.737710040904737,-0.3141548214130966,0.41781027747402016,0.5573770491803278,0.13111817498832945,0.7784854689620807,0.01034338217654073,-0.03011225573930195,-0.2511873131652843,-0.0011812171192396163,1.0470513549175622,0.7570749017278211
value,monthly,equal,long_short,-0.05355461852140442,-1.0850745646085538,-0.9552763764349356,-0.432322394683738,-0.12387657724874944,0.29508196721311475,-0.05367473919137755,-1.0870514058165637,0.010424847558875709,-0.03011225573930195,-0.2511873131652843,-0.003637792615856989,-0.06803578057657139,0.04236081947673631
value,monthly,cap_weight,long_only,0.14387556072587304,0.8445758994664385,0.8760277188370089,-0.29832711124396627,0.48227450775740704,0.5081967213114754,0.14374503821492146,0.8438942317659652,0.009476818962317548,-0.03011225573930195,-0.2511873131652843,0.00012720688246697895,1.0143775054854378,0.7190706665646412
value,monthly,cap_weight,long_short,-0.08548008340988855,-1.1002229819728908,-0.9881493672123067,-0.5995212375377929,-0.14258057606257865,0.3114754098360656,-0.08559199369715387,-1.1016605816699148,0.010073629860247535,-0.03011225573930195,-0.2511873131652843,-0.006154524782210616,-0.08207848555065526,0.024727574378602513
value,quarterly,equal,long_only,0.12537818075428486,0.7440557682501077,0.6157749131190097,-0.3097558168431956,0.40476457240431335,0.425,0.1252396916897156,0.7433503364671892,0.03154731563844922,-0.05301330840739105,-0.46811364690709356,-0.003166540066263107,1.0280587218467097,0.7703999737303425
value,quarterly,equal,long_short,-0.05518684749415226,-1.079025213054557,-0.8752553625648738,-0.4331615477629872,-0.1274047702968058,0.2,-0.05530817018191658,-1.0817490401328353,0.03179578505457092,-0.05301330840739105,-0.46811364690709356,-0.010460452968272317,-0.0905135761367615,0.07838948367694254
value,quarterly,cap_weight,long_only,0.14176121368707073,0.8416434558872006,0.671119240570923,-0.29433772340100633,0.4816277439706053,0.525,0.14163306489716332,0.8409786566757619,0.028904297835068527,-0.05301330840739105,-0.46811364690709356,0.0030926977496391886,0.9520858845536371,0.6970874619933101
value,quarterly,cap_weight,long_short,-0.08902043375353585,-1.0385950714952756,-0.8590372771903934,-0.6184086252929646,-0.143950828162145,0.25,-0.08913326805600352,-1.0403000808149432,0.030724328242848452,-0.05301330840739105,-0.46811364690709356,-0.017545779170834937,-0.12546592626498296,0.05400881068037311
value,annual,equal,long_only,0.11987313669117672,0.8985440799794422,1.9421330971258823,-0.09071039037714382,1.3214928983635044,0.3333333333333333,0.11974706117220202,0.8981262157103924,0.13529795388786964,-0.11486225975538462,-0.8728445462138043,0.01348115117153729,0.7058221235566573,0.6775028068394124
value,annual,equal,long_short,-0.07657390144894616,-0.9648911346332398,-0.6947089293944899,-0.5117757997714447,-0.1496239202462162,0.1111111111111111,-0.07670620962810704,-0.9671260539932761,0.13515472761954805,-0.11486225975538462,-0.8728445462138043,-0.03523011740093927,-0.23785175155507227,0.266730986964528
value,annual,cap_weight,long_only,0.13279402828700593,0.9754303408978151,2.0570753442997707,-0.0772709841442157,1.7185497215767833,0.3333333333333333,0.1326774886758162,0.9750188563959317,0.12418545901654363,-0.11486225975538462,-0.8728445462138043,0.015379002571768441,0.7764845279619541,0.7922275900331611
value,annual,cap_weight,long_short,-0.16280886701546937,-0.797641061663237,-0.6122174760149623,-0.7979673412507673,-0.20402948667081533,0.1111111111111111,-0.1629338530514144,-0.7985542644259123,0.13234113935179503,-0.11486225975538462,-0.8728445462138043,-0.08584047608742747,-0.3437292254749742,0.10344954544647222
momentum,monthly,equal,long_only,0.20535219577907116,1.1649676209742044,1.1071938831136063,-0.19226546828638474,1.0680659278513465,0.5737704918032787,0.19855435360065643,1.132142004408005,0.47816537365607786,-0.0040587648207386215,-0.020807986880644013,0.00416693500849447,1.0382432265293966,0.79367483418476
momentum,monthly,equal,long_short,0.002032731298095225,0.0646763655217255,0.06304888867656071,-0.17233879671468033,0.011794972094766116,0.39344262295081966,-0.0036344484017669654,-0.009378750772956707,0.4723536287786854,-0.0040587648207386215,-0.020807986880644013,0.0019816787684659182,-0.12757981983133657,0.06226657828403337
momentum,monthly,cap_weight,long_only,0.2936511356357212,1.3697883742085686,1.5429170587498464,-0.2718709035910986,1.0801124053987796,0.5819672131147541,0.28550840306122294,1.338224068632632,0.5360406733656087,-0.0040587648207386215,-0.020807986880644013,0.009856409658022848,1.101178103902941,0.646631448803796
momentum,monthly,cap_weight,long_short,0.000637663844295977,0.05844779130018429,0.057296142835829636,-0.3024504604730083,0.0021083249246793075,0.3524590163934426,-0.006274646266770878,-0.0076691093530894035,0.5769466649183763,-0.0040587648207386215,-0.020807986880644013,0.0017359807240384074,-0.0996774873453264,0.020308021965288137
